
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.47,77,10000,6.57
"temp","humidity","visibility","wind"
19.73,60,10000,6.17
"temp","humidity","visibility","wind"
19.73,60,10000,6.17
"temp","humidity","visibility","wind"
19.73,60,10000,6.17
"temp","humidity","visibility","wind"
19.73,60,10000,6.17
"temp","humidity","visibility","wind"
19.73,60,10000,6.17
"temp","humidity","visibility","wind"
19.73,60,10000,6.17
"temp","humidity","visibility","wind"
19.73,60,10000,6.17
"temp","humidity","visibility","wind"
19.73,60,10000,6.17
"temp","humidity","visibility","wind"
19.73,60,10000,6.17
"temp","humidity","visibility","wind"
19.73,60,10000,6.17
"temp","humidity","visibility","wind"
19.73,60,10000,6.17
"temp","humidity","visibility","wind"
19.73,60,10000,6.17
"temp","humidity","visibility","wind"
19.73,60,10000,6.17
"temp","humidity","visibility","wind"
19.73,60,10000,6.17
"temp","humidity","visibility","wind"
19.73,60,10000,6.17
"temp","humidity","visibility","wind"
19.73,60,10000,6.17
"temp","humidity","visibility","wind"
19.73,60,10000,6.17
"temp","humidity","visibility","wind"
19.73,60,10000,6.17
"temp","humidity","visibility","wind"
19.73,60,10000,6.17
"temp","humidity","visibility","wind"
19.73,60,10000,6.17
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
20.71,55,10000,6.14
"temp","humidity","visibility","wind"
